


2022-12-02 22:20:21:565089  ->     Device used:genmet0

2022-12-02 22:20:21:565089  ->     Theta   Phi             X              Y              Z                      |0>            |1>
2022-12-02 22:45:10:221063  ->      35.5    62.2           0.2708321005   0.5136787869   0.8141155184           0.9523957996   0.1421846362 +0.2696771589 *i
2022-12-02 22:45:10:773031  ->      37.1    28.5           0.5301095021   0.2878259756   0.7975839288           0.9480463936   0.2795799371 +0.1517995203 *i
2022-12-02 22:45:11:324970  ->      32.0    42.6           0.3900720268   0.3586896158   0.8480480962           0.9612616959   0.2028958547 +0.1865723025 *i
2022-12-02 22:45:11:877244  ->      45.4    60.5           0.3506184005   0.6197159248   0.7021530530           0.9225380895   0.1900292272 +0.3358755220 *i
2022-12-02 22:45:12:429328  ->      41.9    26.4           0.5981854738   0.2969418480   0.7443115462           0.9338928060   0.3202645261 +0.1589806914 *i
2022-12-02 22:45:12:981358  ->      40.2    47.8           0.4335672184   0.4781580218   0.7637960286           0.9390942521   0.2308432926 +0.2545846813 *i
2022-12-02 22:45:13:533652  ->      30.6    57.6           0.2727580303   0.4297978826   0.8607420270           0.9645574185   0.1413902506 +0.2227953849 *i
2022-12-02 22:45:14:085716  ->      38.5    24.7           0.5655596380   0.2601283696   0.7826081569           0.9440890204   0.2995266473 +0.1377668652 *i
2022-12-02 22:45:14:637931  ->      36.1    53.9           0.3471523475   0.4760646964   0.8079898839           0.9507864860   0.1825606236 +0.2503531042 *i
2022-12-02 22:45:15:190060  ->      37.2    52.3           0.3697287072   0.4783730477   0.7965299180           0.9477684100   0.1950522424 +0.2523681116 *i
2022-12-02 22:45:15:742399  ->      30.8    25.2           0.4633102362   0.2180172483   0.8589598969           0.9640954042   0.2402823590 +0.1130682956 *i
2022-12-02 22:45:16:294553  ->      37.6    58.7           0.3169820737   0.5213439230   0.7922896434           0.9466492601   0.1674231878 +0.2753627689 *i
2022-12-02 22:45:16:846726  ->      39.5    46.1           0.4410578009   0.4583268687   0.7716245834           0.9411760153   0.2343120701 +0.2434862668 *i
2022-12-02 22:45:17:399020  ->      43.3    27.3           0.6094300069   0.3145502820   0.7277727577           0.9294548826   0.3278427056 +0.1692122382 *i
2022-12-02 22:45:17:951375  ->      42.8    60.7           0.3325066513   0.5925198839   0.7337298645           0.9310558159   0.1785642953 +0.3181978318 *i
2022-12-02 22:45:18:503168  ->      42.4    40.9           0.5096737989   0.4414932939   0.7384553406           0.9323238012   0.2733351858 +0.2367703653 *i
2022-12-02 22:45:19:055134  ->      42.0    30.6           0.5759488344   0.3406151912   0.7431448255           0.9335804265   0.3084623553 +0.1824241284 *i
2022-12-02 22:45:19:607192  ->      38.2    62.5           0.2855492190   0.5485349460   0.7858568932           0.9449489122   0.1510924111 +0.2902458212 *i
2022-12-02 22:45:20:159515  ->      35.8    34.5           0.4820789392   0.3313236754   0.8110638190           0.9515944039   0.2533006380 +0.1740887053 *i
2022-12-02 22:45:20:711897  ->      42.6    36.3           0.5455134875   0.4007194945   0.7360970871           0.9316912276   0.2927544402 +0.2150495157 *i
2022-12-02 22:45:21:264222  ->      41.8    62.4           0.3088018507   0.5906834608   0.7454759997           0.9342044743   0.1652753007 +0.3161424918 *i
2022-12-02 22:45:21:816076  ->      44.7    29.3           0.6134089067   0.3442290242   0.7107994739           0.9248782282   0.3316160377 +0.1860942412 *i
2022-12-02 22:45:22:368300  ->      42.5    42.8           0.4957007115   0.4590238918   0.7372773368           0.9320078693   0.2659316127 +0.2462553734 *i
2022-12-02 22:45:22:920442  ->      38.7    60.4           0.3088335247   0.5436453194   0.7804304073           0.9435121640   0.1636616551 +0.2880966140 *i
2022-12-02 22:45:23:472516  ->      39.8    27.0           0.5703419184   0.2906037224   0.7682835236           0.9402881270   0.3032803999 +0.1545290821 *i
2022-12-02 22:45:24:024504  ->      39.2    46.7           0.4334572954   0.4599737085   0.7749444887           0.9420574528   0.2300588431 +0.2441325140 *i
2022-12-02 22:45:24:576916  ->      43.2    58.4           0.3586930355   0.5830472078   0.7289686274           0.9297764859   0.1928920772 +0.3135415966 *i
2022-12-02 22:45:25:129239  ->      43.6    24.8           0.6260210906   0.2892623537   0.7241718614           0.9284858269   0.3371193574 +0.1557710120 *i
2022-12-02 22:45:25:681534  ->      33.9    54.1           0.3270463140   0.4517967630   0.8300122851           0.9565595342   0.1709492730 +0.2361571585 *i
2022-12-02 22:45:26:233706  ->      33.4    52.2           0.3373935285   0.4349651160   0.8348478633           0.9578224948   0.1761252896 +0.2270593551 *i
2022-12-02 22:45:26:786109  ->      39.6    24.9           0.5781716145   0.2683783280   0.7705132428           0.9408807690   0.3072502030 +0.1426207958 *i
2022-12-02 22:45:27:338605  ->      48.0    58.0           0.3938067591   0.6302225544   0.6691306064           0.9135454576   0.2155375826 +0.3449322358 *i
2022-12-02 22:45:27:891008  ->      40.2    45.9           0.4491822645   0.4635201396   0.7637960286           0.9390942521   0.2391571791 +0.2467910642 *i
2022-12-02 22:45:28:443287  ->      35.9    28.2           0.5167719822   0.2770907057   0.8100416404           0.9513258223   0.2716061995 +0.1456339664 *i
2022-12-02 22:45:28:995453  ->      36.5    61.3           0.2856478790   0.5217465255   0.8038568606           0.9496991262   0.1503886184 +0.2746904315 *i
2022-12-02 22:45:29:548148  ->      39.3    37.9           0.4997907662   0.3890764961   0.7738402097           0.9417643574   0.2653481002 +0.2065678601 *i
2022-12-02 22:45:30:100225  ->      44.0    31.9           0.5897452891   0.3670841125   0.7193398003           0.9271838546   0.3180303918 +0.1979564844 *i
2022-12-02 22:45:30:653544  ->      38.6    62.6           0.2871092561   0.5538899044   0.7815204724           0.9438009516   0.1521026524 +0.2934357629 *i
2022-12-02 22:45:31:205721  ->      40.6    33.1           0.5451657421   0.3553890762   0.7592713073           0.9378889346   0.2906344888 +0.1894622397 *i
2022-12-02 22:45:31:757763  ->      43.4    39.2           0.5324546798   0.4342594403   0.7265746710           0.9291325715   0.2865332118 +0.2336907852 *i
2022-12-02 22:45:32:309887  ->      35.3    61.8           0.2730670624   0.5092679192   0.8161375901           0.9529264374   0.1432781439 +0.2672126091 *i
2022-12-02 22:45:32:862119  ->      40.3    27.4           0.5742299172   0.2976525173   0.7626683297           0.9387939949   0.3058338253 +0.1585291975 *i
2022-12-02 22:45:33:414503  ->      38.4    45.8           0.4330425561   0.4453074326   0.7836934573           0.9443763702   0.2292743496 +0.2357679875 *i
2022-12-02 22:45:33:966916  ->      34.9    58.9           0.2955324126   0.4899096790   0.8201518759           0.9539790029   0.1548946107 +0.2567717306 *i
2022-12-02 22:45:34:519074  ->      44.9    25.0           0.6397369012   0.2983142162   0.7083398377           0.9242131350   0.3460981439 +0.1613882150 *i
2022-12-02 22:45:35:071422  ->      39.5    52.1           0.3907334368   0.5019192003   0.7716245834           0.9411760153   0.2075772387 +0.2666447042 *i
2022-12-02 22:45:35:623657  ->      38.8    54.1           0.3674231536   0.5075751793   0.7793379649           0.9432226579   0.1947701057 +0.2690643482 *i
2022-12-02 22:45:36:176107  ->      42.1    24.6           0.6095760904   0.2790857241   0.7419758410           0.9332673360   0.3265817129 +0.1495207822 *i
2022-12-02 22:45:36:727811  ->      37.8    55.4           0.3480354367   0.5045060864   0.7901550124           0.9460853588   0.1839344798 +0.2666282073 *i
2022-12-02 22:45:37:279814  ->      43.2    50.7           0.4335790433   0.5297300760   0.7289686274           0.9297764859   0.2331630504 +0.2848695811 *i
2022-12-02 22:45:37:832034  ->      36.8    25.3           0.5415667823   0.2559974452   0.8007313709           0.9488760116   0.2853727861 +0.1348950980 *i
2022-12-02 22:45:38:384084  ->      38.4    58.9           0.3208435307   0.5318683989   0.7836934573           0.9443763702   0.1698705838 +0.2815976848 *i
2022-12-02 22:45:38:936615  ->      39.5    42.9           0.4659545833   0.4329917188   0.7716245834           0.9411760153   0.2475384922 +0.2300269619 *i
2022-12-02 22:45:39:489009  ->      41.4    29.1           0.5778359387   0.3216193576   0.7501110696           0.9354440308   0.3088565000 +0.1719073226 *i
2022-12-02 22:45:40:040977  ->      43.5    62.1           0.3221016287   0.6083441153   0.7253743710           0.9288095529   0.1733948729 +0.3274859272 *i
2022-12-02 22:45:40:593023  ->      43.5    37.7           0.5446423393   0.4209474363   0.7253743710           0.9288095529   0.2931937649 +0.2266058930 *i
2022-12-02 22:45:41:145289  ->      41.0    34.4           0.5413231605   0.3706517037   0.7547095802           0.9366721892   0.2889608375 +0.1978556148 *i
2022-12-02 22:45:41:697285  ->      39.6    62.7           0.2923542289   0.5664259418   0.7705132428           0.9408807690   0.1553619962 +0.3010083533 *i
2022-12-02 22:45:42:252148  ->      35.6    29.7           0.5056503572   0.2884178717   0.8131007610           0.9521293927   0.2655365757 +0.1514593887 *i
2022-12-02 22:45:42:804532  ->      41.8    42.1           0.4945509902   0.4468611105   0.7454759997           0.9342044743   0.2646909771 +0.2391666507 *i
2022-12-02 22:45:43:356564  ->      40.0    60.7           0.3145689764   0.5605553231   0.7660444431           0.9396926208   0.1673786563 +0.2982652575 *i
2022-12-02 22:45:43:909006  ->      35.9    26.1           0.5265785460   0.2579681678   0.8100416404           0.9513258223   0.2767603557 +0.1355834993 *i
2022-12-02 22:45:44:461196  ->      37.5    48.8           0.4009847370   0.4580411751   0.7933533403           0.9469301295   0.2117287879 +0.2418558460 *i
2022-12-02 22:45:45:013362  ->      45.3    55.9           0.3985019024   0.5885848502   0.7033947028           0.9228745047   0.2159025416 +0.3188867214 *i
2022-12-02 22:45:45:565340  ->      34.0    24.5           0.5088438851   0.2318935184   0.8290375726           0.9563047560   0.2660469280 +0.1212445703 *i
2022-12-02 22:45:46:117775  ->      39.7    54.6           0.3700261702   0.5206774031   0.7693995550           0.9405848061   0.1967000571 +0.2767838688 *i
2022-12-02 22:45:46:670065  ->      42.4    51.5           0.4197631058   0.5277145487   0.7384553406           0.9323238012   0.2251165878 +0.2830103383 *i
2022-12-02 22:45:47:222254  ->      34.9    25.4           0.5168395601   0.2454134666   0.8201518759           0.9539790029   0.2708862347 +0.1286262411 *i
2022-12-02 22:45:47:774252  ->      38.7    58.4           0.3276183397   0.5325360108   0.7804304073           0.9435121640   0.1736163837 +0.2822094039 *i
2022-12-02 22:45:48:331151  ->      33.7    41.0           0.4187464049   0.3640106963   0.8319541221           0.9570669052   0.2187654816 +0.1901699319 *i
2022-12-02 22:45:48:882596  ->      40.1    31.6           0.5486174444   0.3375117037   0.7649214009           0.9393937941   0.2920061043 +0.1796433539 *i
2022-12-02 22:45:49:434849  ->      36.3    62.4           0.2742773585   0.5246441980   0.8059282822           0.9502442534   0.1443193987 +0.2760575484 *i
2022-12-02 22:45:49:987003  ->      38.0    36.0           0.4980805963   0.3618767356   0.7880107536           0.9455185756   0.2633901698 +0.1913641598 *i
2022-12-02 22:45:50:539372  ->      40.3    37.5           0.5131328320   0.3937406704   0.7626683297           0.9387939949   0.2732936272 +0.2097055758 *i
2022-12-02 22:45:51:091586  ->      46.8    62.5           0.3366002528   0.6466030696   0.6845471059           0.9177546257   0.1833824877 +0.3522744814 *i
2022-12-02 22:45:51:644055  ->      41.0    30.4           0.5658598803   0.3319880199   0.7547095802           0.9366721892   0.3020586534 +0.1772167594 *i
2022-12-02 22:45:52:196208  ->      39.3    42.6           0.4662298154   0.4287202923   0.7738402097           0.9417643574   0.2475299748 +0.2276154799 *i
2022-12-02 22:45:52:748392  ->      37.6    60.5           0.3004498538   0.5310433188   0.7922896434           0.9466492601   0.1586912209 +0.2804857834 *i
2022-12-02 22:45:53:300651  ->      34.6    25.9           0.5108082581   0.2480351634   0.8231363685           0.9547607995   0.2675058812 +0.1298938768 *i
2022-12-02 22:45:53:852579  ->      43.1    47.8           0.4589690619   0.5061723521   0.7301622766           0.9300973811   0.2467317247 +0.2721071806 *i
2022-12-02 22:45:54:408176  ->      37.0    54.5           0.3494757627   0.4899469495   0.7986355100           0.9483236552   0.1842597518 +0.2583226448 *i
2022-12-02 22:45:54:959510  ->      41.3    24.6           0.6000973485   0.2747460172   0.7512641335           0.9357521396   0.3206497336 +0.1468049100 *i
2022-12-02 22:45:55:511693  ->      43.3    57.1           0.3725190066   0.5758267126   0.7277727577           0.9294548826   0.2003964978 +0.3097658226 *i
2022-12-02 22:45:56:063737  ->      43.9    49.8           0.4475615407   0.5296175627   0.7205511117           0.9275104074   0.2412703605 +0.2855049164 *i
2022-12-02 22:45:56:616157  ->      39.2    26.8           0.5641403924   0.2849678176   0.7749444887           0.9420574528   0.2994193139 +0.1512475788 *i
2022-12-02 22:45:57:168360  ->      49.4    60.2           0.3773380691   0.6588694102   0.6507742173           0.9085081775   0.2076690548 +0.3626106107 *i
2022-12-02 22:45:57:720693  ->      41.4    43.3           0.4812847599   0.4535398142   0.7501110696           0.9354440308   0.2572493618 +0.2424195352 *i
2022-12-02 22:45:58:272984  ->      33.1    29.9           0.4734140146   0.2722251322   0.8377187166           0.9585715197   0.2469372420 +0.1419952120 *i
2022-12-02 22:45:58:824979  ->      38.7    62.3           0.2906390754   0.5535858625   0.7804304073           0.9435121640   0.1540197819 +0.2933644544 *i
2022-12-02 22:45:59:377093  ->      43.5    36.8           0.5511871031   0.4123406350   0.7253743710           0.9288095529   0.2967169650 +0.2219726497 *i
2022-12-02 22:45:59:928449  ->      33.4    32.9           0.4621945644   0.2990070732   0.8348478633           0.9578224948   0.2412736007 +0.1560868923 *i
2022-12-02 22:46:00:480463  ->      39.1    62.7           0.2892591781   0.5604293907   0.7760464071           0.9423498308   0.1534775986 +0.2973573998 *i
2022-12-02 22:46:01:032667  ->      38.7    33.2           0.5231807421   0.3423598844   0.7804304073           0.9435121640   0.2772517208 +0.1814284423 *i
2022-12-02 22:46:01:584944  ->      40.0    39.0           0.4995397949   0.4045193499   0.7660444431           0.9396926208   0.2657995731 +0.2152402503 *i
2022-12-02 22:46:02:137384  ->      41.3    61.8           0.3118842930   0.5816617483   0.7512641335           0.9357521396   0.1666489874 +0.3107990480 *i
2022-12-02 22:46:02:689707  ->      36.6    27.5           0.5288579231   0.2753060092   0.8028174752           0.9494254776   0.2785147100 +0.1449855811 *i
2022-12-02 22:46:03:242103  ->      38.3    45.7           0.4328631494   0.4435713496   0.7847763705           0.9446630009   0.2291098249 +0.2347775604 *i
2022-12-02 22:46:03:794225  ->      39.9    58.9           0.3313301135   0.5492522059   0.7671651518           0.9399907318   0.1762411598 +0.2921583093 *i
2022-12-02 22:46:04:346719  ->      42.5    25.3           0.6107893174   0.2887187877   0.7372773368           0.9320078693   0.3276739057 +0.1548907457 *i
2022-12-02 22:46:04:898356  ->      39.3    50.7           0.4011713298   0.4901355873   0.7738402097           0.9417643574   0.2129892296 +0.2602219884 *i
2022-12-02 22:46:05:450737  ->      39.6    55.5           0.3610409234   0.5253178032   0.7705132428           0.9408807690   0.1918632707 +0.2791627912 *i
2022-12-02 22:46:06:002696  ->      35.5    24.6           0.5279960960   0.2417354865   0.8141155184           0.9523957996   0.2771936290 +0.1269091519 *i
2022-12-02 22:46:06:554958  ->      41.0    56.3           0.3640106963   0.5458110135   0.7547095802           0.9366721892   0.1943106139 +0.2913564744 *i
2022-12-02 22:46:07:107084  ->      39.8    50.9           0.4037017016   0.4967548324   0.7682835236           0.9402881270   0.2146691477 +0.2641503270 *i
2022-12-02 22:46:07:659129  ->      38.4    25.7           0.5597019917   0.2693663778   0.7836934573           0.9443763702   0.2963341785 +0.1426160090 *i
2022-12-02 22:46:08:211244  ->      33.6    59.6           0.2800348087   0.4773077756   0.8329212407           0.9573194975   0.1462598482 +0.2492938757 *i
2022-12-02 22:46:08:763377  ->      39.3    44.5           0.4517591919   0.4439425215   0.7738402097           0.9417643574   0.2398472550 +0.2356972410 *i
2022-12-02 22:46:09:315840  ->      41.4    29.0           0.5783963900   0.3206103543   0.7501110696           0.9354440308   0.3091560643 +0.1713680048 *i
2022-12-02 22:46:09:868175  ->      45.5    62.0           0.3348508030   0.6297627672   0.7009092643           0.9222009717   0.1815497995 +0.3414455127 *i
2022-12-02 22:46:10:420549  ->      40.7    36.4           0.5248699605   0.3869675088   0.7581343362           0.9375858191   0.2799050230 +0.2063637807 *i
2022-12-02 22:46:10:972894  ->      42.7    33.0           0.5687525555   0.3693522282   0.7349145951           0.9313738764   0.3053298841 +0.1982835452 *i
2022-12-02 22:46:11:528325  ->      40.5    62.2           0.3028938933   0.5744893879   0.7604059656           0.9381913359   0.1614243714 +0.3061685639 *i
2022-12-02 22:46:12:080326  ->      48.9    28.9           0.6597180188   0.3641839122   0.6573752458           0.9103228125   0.3623538869 +0.2000300922 *i
2022-12-02 22:46:12:632606  ->      35.4    44.8           0.4110409681   0.4081813312   0.8151277957           0.9526614813   0.2157329630 +0.2142320957 *i
2022-12-02 22:46:13:184978  ->      39.1    59.4           0.3210401059   0.5428491729   0.7760464071           0.9423498308   0.1703401940 +0.2880295381 *i
2022-12-02 22:46:13:737131  ->      40.5    25.6           0.5856933742   0.2806172463   0.7604059656           0.9381913359   0.3121396200 +0.1495522478 *i
2022-12-02 22:46:14:289277  ->      37.8    49.8           0.3956055696   0.4681359735   0.7901550124           0.9460853588   0.2090749878 +0.2474068376 *i
2022-12-02 22:46:14:841697  ->      40.4    54.9           0.3726723471   0.5302591139   0.7615383075           0.9384930228   0.1985482779 +0.2825056239 *i
2022-12-02 22:46:15:393822  ->      42.8    24.5           0.6182652727   0.2817597177   0.7337298645           0.9310558159   0.3320237424 +0.1513119369 *i
2022-12-02 22:46:15:947346  ->      46.2    56.6           0.3973151045   0.6025599842   0.6921431739           0.9198214973   0.2159740263 +0.3275418035 *i
2022-12-02 22:46:16:499493  ->      43.8    50.4           0.4411886634   0.5333054814   0.7217602281           0.9278362539   0.2377513605 +0.2873920259 *i
2022-12-02 22:46:17:051591  ->      39.7    26.5           0.5716552690   0.2850168033   0.7693995550           0.9405848061   0.3038828956 +0.1515104228 *i
2022-12-02 22:46:17:603757  ->      34.7    60.5           0.2803266496   0.4954756758   0.8221440410           0.9545009275   0.1468446188 +0.2595469850 *i
2022-12-02 22:46:18:155665  ->      42.6    42.6           0.4982464296   0.4581610783   0.7360970871           0.9316912276   0.2673881726 +0.2458760289 *i
2022-12-02 22:46:18:707827  ->      42.1    29.4           0.5840849298   0.3291149438   0.7419758410           0.9332673360   0.3129247683 +0.1763240451 *i
2022-12-02 22:46:19:260140  ->      45.3    62.1           0.3326042658   0.6281801449   0.7033947028           0.9228745047   0.1802001594 +0.3403388769 *i
2022-12-02 22:46:19:812101  ->      37.6    37.4           0.4847082389   0.3705874313   0.7922896434           0.9466492601   0.2560125800 +0.1957363973 *i
2022-12-02 22:46:20:364692  ->      40.3    34.8           0.5311109159   0.3691317026   0.7626683297           0.9387939949   0.2828687224 +0.1965988836 *i
2022-12-02 22:46:20:917013  ->      37.6    62.5           0.2817336833   0.5412053702   0.7922896434           0.9466492601   0.1488057379 +0.2858531628 *i
2022-12-02 22:46:21:469271  ->      39.6    32.6           0.5369993681   0.3434254233   0.7705132428           0.9408807690   0.2853705729 +0.1825020952 *i
2022-12-02 22:46:22:021688  ->      44.6    39.7           0.5402362465   0.4485127732   0.7120260460           0.9252097184   0.2919534003 +0.2423843829 *i
2022-12-02 22:46:22:573305  ->      43.2    62.0           0.3213753996   0.6044192194   0.7289686274           0.9297764859   0.1728240090 +0.3250346877 *i
2022-12-02 22:46:23:125383  ->      39.7    28.0           0.5639985069   0.2998833255   0.7693995550           0.9405848061   0.2998126821 +0.1594132308 *i
2022-12-02 22:46:23:677297  ->      42.1    44.9           0.4748898825   0.4732350905   0.7419758410           0.9332673360   0.2544232848 +0.2535367264 *i
2022-12-02 22:46:24:229435  ->      40.0    59.3           0.3281706618   0.5527023863   0.7660444431           0.9396926208   0.1746159620 +0.2940867972 *i
2022-12-02 22:46:24:781593  ->      34.7    25.1           0.5155217743   0.2414880452   0.8221440410           0.9545009275   0.2700478122 +0.1264996389 *i
2022-12-02 22:46:25:333614  ->      38.0    51.3           0.3849378162   0.4804809360   0.7880107536           0.9455185756   0.2035590977 +0.2540832874 *i
2022-12-02 22:46:25:885822  ->      34.2    54.8           0.3240030234   0.4593035647   0.8270805743           0.9557930148   0.1694943457 +0.2402735517 *i
2022-12-02 22:46:26:437896  ->      40.1    24.6           0.5856604629   0.2681362949   0.7649214009           0.9393937941   0.3117225526 +0.1427177274 *i
2022-12-02 22:46:26:989981  ->      40.5    55.7           0.3659808927   0.5365079251   0.7604059656           0.9381913359   0.1950459776 +0.2859267105 *i
2022-12-02 22:46:27:541659  ->      41.5    51.5           0.4124906785   0.5185718546   0.7489557208           0.9351352097   0.2205513568 +0.2772710562 *i
2022-12-02 22:46:28:093399  ->      34.0    25.1           0.5063876460   0.2372093069   0.8290375726           0.9563047560   0.2647626935 +0.1240239084 *i
2022-12-02 22:46:28:650603  ->      42.6    61.6           0.3219385977   0.5954129807   0.7360970871           0.9316912276   0.1727710792 +0.3195334265 *i
2022-12-02 22:46:29:202592  ->      32.0    38.2           0.4164407066   0.3277065219   0.8480480962           0.9612616959   0.2166115161 +0.1704564549 *i
2022-12-02 22:46:29:754691  ->      43.7    32.8           0.5807326817   0.3742566744   0.7229671459           0.9281613938   0.3128403560 +0.2016118516 *i
2022-12-02 22:46:30:306638  ->      41.3    62.6           0.3037326256   0.5859596350   0.7512641335           0.9357521396   0.1622933108 +0.3130955358 *i
2022-12-02 22:46:30:858736  ->      42.4    33.4           0.5629399075   0.3711904774   0.7384553406           0.9323238012   0.3019014996 +0.1990673610 *i
2022-12-02 22:46:31:411010  ->      43.8    37.5           0.5491140989   0.4213500676   0.7217602281           0.9278362539   0.2959111032 +0.2270605755 *i
2022-12-02 22:46:31:963258  ->      37.8    62.1           0.2867974838   0.5416661885   0.7901550124           0.9460853588   0.1515706173 +0.2862670812 *i
2022-12-02 22:46:32:515532  ->      38.3    28.4           0.5451877408   0.2947819118   0.7847763705           0.9446630009   0.2885620270 +0.1560249060 *i
2022-12-02 22:46:33:067902  ->      35.7    44.1           0.4190562897   0.4060937963   0.8120835269           0.9518622608   0.2201244376 +0.2133154202 *i
2022-12-02 22:46:33:621098  ->      38.0    59.8           0.3096900025   0.5321006997   0.7880107536           0.9455185756   0.1637672757 +0.2813803522 *i
2022-12-02 22:46:34:173228  ->      42.6    25.3           0.6119517525   0.2892682682   0.7360970871           0.9316912276   0.3284090986 +0.1552382697 *i
2022-12-02 22:46:34:725244  ->      41.1    50.5           0.4181420764   0.5072469002   0.7535633923           0.9363662190   0.2232791337 +0.2708592482 *i
2022-12-02 22:46:35:278018  ->      44.4    55.5           0.3962936798   0.5766108821   0.7144726796           0.9258705848   0.2140113782 +0.3113884875 *i
2022-12-02 22:46:35:830035  ->      39.0    24.7           0.5717427216   0.2629722703   0.7771459615           0.9426414911   0.3032662613 +0.1394868955 *i
2022-12-02 22:46:36:382429  ->      41.5    57.2           0.3589467204   0.5569762833   0.7489557208           0.9351352097   0.1919223641 +0.2978052145 *i
2022-12-02 22:46:36:934789  ->      44.9    49.7           0.4565505176   0.5383458918   0.7083398377           0.9242131350   0.2469941728 +0.2912455317 *i
2022-12-02 22:46:37:487259  ->      38.5    26.7           0.5561367652   0.2797076532   0.7826081569           0.9440890204   0.2945361895 +0.1481362706 *i
2022-12-02 22:46:38:039556  ->      37.5    60.2           0.3025385787   0.5282621374   0.7933533403           0.9469301295   0.1597470443 +0.2789340633 *i
2022-12-02 22:46:38:591989  ->      39.1    41.8           0.4701536780   0.4203659039   0.7760464071           0.9423498308   0.2494581432 +0.2230413219 *i
2022-12-02 22:46:39:144257  ->      35.6    29.9           0.5046405103   0.2901811637   0.8131007610           0.9521293927   0.2650062660 +0.1523853616 *i
2022-12-02 22:46:39:696103  ->      36.3    62.0           0.2779333522   0.5227166112   0.8059282822           0.9502442534   0.1462431113 +0.2750432898 *i
2022-12-02 22:46:40:248318  ->      42.1    38.1           0.5275821861   0.4136772755   0.7419758410           0.9332673360   0.2826533008 +0.2216284978 *i
2022-12-02 22:46:40:800519  ->      32.9    34.1           0.4497812168   0.3045247775   0.8396198645           0.9590672199   0.2344888906 +0.1587609143 *i
2022-12-02 22:46:41:352482  ->      44.0    62.6           0.3196816326   0.6167283887   0.7193398003           0.9271838546   0.1723938737 +0.3325814970 *i
2022-12-02 22:46:41:904743  ->      41.2    30.9           0.5651983095   0.3382642101   0.7524149089           0.9360595357   0.3019029709 +0.1806852006 *i
2022-12-02 22:46:42:456841  ->      38.5    40.4           0.4740687428   0.4034641247   0.7826081569           0.9440890204   0.2510720560 +0.2136790684 *i
2022-12-02 22:46:43:009130  ->      33.3    61.3           0.2636536578   0.4815732586   0.8358073614           0.9580728995   0.1375958228 +0.2513239122 *i
2022-12-02 22:46:43:561518  ->      41.3    27.4           0.5859596350   0.3037326256   0.7512641335           0.9357521396   0.3130955358 +0.1622933108 *i
2022-12-02 22:46:44:113887  ->      35.5    47.1           0.3952966206   0.4253898265   0.8141155184           0.9523957996   0.2075274905 +0.2233261773 *i
2022-12-02 22:46:44:666261  ->      43.4    58.1           0.3630833800   0.5833178436   0.7265746710           0.9291325715   0.1953883607 +0.3139045285 *i
2022-12-02 22:46:45:218547  ->      44.1    24.7           0.6322424665   0.2907990439   0.7181262978           0.9268565956   0.3410681164 +0.1568738062 *i
2022-12-02 22:46:45:770662  ->      36.7    52.0           0.3679347797   0.4709350424   0.8017756442           0.9491511061   0.1938230790 +0.2480822281 *i
2022-12-02 22:46:46:322989  ->      34.7    53.1           0.3418069397   0.4552441013   0.8221440410           0.9545009275   0.1790500826 +0.2384723200 *i
2022-12-02 22:46:46:875087  ->      40.3    24.7           0.5876138038   0.2702721525   0.7626683297           0.9387939949   0.3129620593 +0.1439464643 *i
2022-12-02 22:46:47:427102  ->      36.0    57.3           0.3175452931   0.4946276273   0.8090169944           0.9510565163   0.1669434401 +0.2600411326 *i
2022-12-02 22:46:47:979402  ->      44.1    48.3           0.4629423165   0.5195950655   0.7181262978           0.9268565956   0.2497378336 +0.2802995997 *i
2022-12-02 22:46:48:531661  ->      38.8    26.9           0.5588037310   0.2834973132   0.7793379649           0.9432226579   0.2962204768 +0.1502812251 *i
2022-12-02 22:46:49:084023  ->      39.9    60.9           0.3119596506   0.5604808705   0.7671651518           0.9399907318   0.1659376205 +0.2981310621 *i
2022-12-02 22:46:49:636010  ->      42.1    41.6           0.5013437455   0.4451138060   0.7419758410           0.9332673360   0.2685959993 +0.2384706872 *i
2022-12-02 22:46:50:188438  ->      35.4    31.0           0.4965408788   0.2983518598   0.8151277957           0.9526614813   0.2606071982 +0.1565886024 *i
2022-12-02 22:46:50:741167  ->      46.3    62.6           0.3327093250   0.6418613551   0.6908824111           0.9194787684   0.1809227882 +0.3490354411 *i
2022-12-02 22:46:51:293733  ->      36.7    35.3           0.4877443472   0.3453422477   0.8017756442           0.9491511061   0.2569371432 +0.1819216379 *i
2022-12-02 22:46:51:844864  ->      42.3    34.3           0.5559744896   0.3792600826   0.7396310950           0.9326390231   0.2980652084 +0.2033262995 *i
2022-12-02 22:46:52:397105  ->      41.4    62.4           0.3063831652   0.5860569420   0.7501110696           0.9354440308   0.1637634936 +0.3132506717 *i
2022-12-02 22:46:52:949650  ->      42.1    29.8           0.5817730590   0.3331845724   0.7419758410           0.9332673360   0.3116861785 +0.1785043575 *i
2022-12-02 22:46:53:501624  ->      40.7    40.6           0.4951196076   0.4243688283   0.7581343362           0.9375858191   0.2640396204 +0.2263093253 *i
2022-12-02 22:46:54:054105  ->      38.3    60.7           0.3033089821   0.5404902493   0.7847763705           0.9446630009   0.1605381929 +0.2860756951 *i
2022-12-02 22:46:54:606541  ->      35.2    26.6           0.5154193978   0.2581028081   0.8171448983           0.9531906678   0.2703653189 +0.1353888665 *i
